Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA3735	39936796	4223149	4224309	1161	+	-	radical SAM family protein	[R] General function prediction only	Conserved domain proteins	Conserved domain proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3739	39936800	4227805	4228548	744	-	-	hypothetical protein	[F] Nucleotide transport and metabolism	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3740	39936801	4228545	4230506	1962	-	sqhC	squalene cyclase	[I] Lipid transport and metabolism	Metabolism	Isoprenoid biosynthesis	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3741	39936802	4230540	4231796	1257	-	-	amine oxidase	[S] Function unknown	Conserved domain proteins	Conserved domain proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3742	39936803	4231796	4232635	840	-	-	squalene/phytoene synthase	[I] Lipid transport and metabolism	Metabolism	Carotenoid biosynthesis	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3743	39936804	4232632	4233510	879	-	-	squalene/phytoene synthase	[I] Lipid transport and metabolism	Metabolism	Carotenoid biosynthesis	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3812	39936873	4309058	4309792	735	-	-	cytochrome c biogenesis protein transmembrane region	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Electron transport chain	0	no C. crescentus homolog found						1	b4136	dsbD	fused thiol:disulfide interchange protein	2E-10	25%	Nonessential
RPA3815	39936876	4312124	4312822	699	+	cbbE	ribulose-phosphate 3-epimerase	[G] Carbohydrate transport and metabolism	Metabolism	Pentose phosphate pathway	1	CCNA_00100	-	Ribulose-5-phosphate 3-epimerase	2E-97	59%	essential	3	b3386	rpe	D-ribulose-5-phosphate 3-epimerase	1E-67	43%	Nonessential
RPA3817	39936878	4313465	4314772	1308	+	purB	adenylosuccinate lyase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_02572	-	adenylosuccinate lyase	0E+00	73%	High_Fitness_Costs	1	b1131	purB	adenylosuccinate lyase	1E-24	24%	essential
RPA3818	39936879	4315019	4315720	702	-	purL	phosphoribosylformylglycinamidine synthase I	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_02583	-	phosphoribosylformylglycinamidine synthase I	7E-79	50%	Nonessential	1	b2557	purL	phosphoribosylformyl-glycineamide synthetase	1E-21	34%	Nonessential
RPA3820	39936881	4316040	4316285	246	-	-	phosphoribosylformylglycinamidine synthase subunit PurS	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_02577	-	"phosphoribosylformylglycinamidine synthase, pur"	4E-24	51%	Nonessential	0	no E. coli homolog found					
RPA3834	39936895	4328043	4329269	1227	+	idh	isocitrate dehydrogenase	[C] Energy production and conversion	Metabolism	Central metabolism	1	CCNA_02607	-	isocitrate dehydrogenase	0E+00	80%	essential	0	no E. coli homolog found					
RPA3847	39936908	4345322	4347991	2670	-	alaS	alanyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_02612	-	alanyl-tRNA synthetase	0E+00	61%	essential	1	b2697	alaS	alanyl-tRNA synthetase	0E+00	52%	Nonessential
RPA3882	39936943	4381871	4384519	2649	-	cckA	sensor histidine kinase	[T] Signal transduction mechanisms	Sensing and signalling	Two-component systems	1	CCNA_01132	cckA	sensory transduction histidine kinase/receive	1E-120	23%	essential	0	no E. coli homolog found					
RPA3903	39936964	4404420	4407572	3153	-	mexD3	RND multidrug efflux transporter MexD	[V] Defense mechanisms	Stress response	Multidrug-resistance genes	4	CCNA_00850	acrB2	cation/multidrug efflux pump acrB2	0E+00	50%	Nonessential	6	b3266	acrF	multidrug efflux system protein	0E+00	51%	Nonessential
RPA3904	39936965	4407585	4408778	1194	-	mexC3	RND multidrug efflux membrane fusion protein MexC	[M] Cell wall/membrane/envelope biogenesis	Stress response	Multidrug-resistance genes	3	CCNA_00851	-	periplasmic multidrug efflux lipoprotei	1E-71	35%	Nonessential	6	b0463	acrA	multidrug efflux system	8E-92	39%	Nonessential
RPA3944	39937005	4453613	4454704	1092	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						1	b0788	ybhN	conserved inner membrane protein	4E-24	23%	Nonessential
RPA3956	39937017	4468165	4468485	321	-	-	ferredoxin	[C] Energy production and conversion	Metabolism	Ferredoxins	1	CCNA_03639	-	"ferredoxin, 2Fe-2s"	4E-52	62%	essential	1	b2525	fdx	[2Fe-2S] ferredoxin	7E-20	38%	Nonessential
RPA3971	39937032	4489100	4489900	801	-	thiD	phosphomethylpyrimidine kinase	[H] Coenzyme transport and metabolism	Metabolism	Thiamine biosynthesis	2	CCNA_03331	-	phosphomethylpyrimidin	5E-58	44%	essential	1	b2103	thiD	bifunctional hydroxy-methylpyrimidine kinase	2E-100	55%	Nonessential
RPA3977	39937038	4496912	4498441	1530	-	-	integral membrane protein MviN	[R] General function prediction only	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_00063	mviN	MviN-family integral membrane protein	2E-66	30%	essential	1	b1069	murJ	probable peptidoglycan lipid II flippase	1E-82	32%	essential
RPA3978	39937039	4498568	4499719	1152	-	wpbE	DegT/DnrJ/EryC1/StrS aminotransferase	[M] Cell wall/membrane/envelope biogenesis	Conserved domain proteins	Conserved domain proteins	3	CCNA_03726	-	3-amino-5-hydroxybenzoic acid synthase family	2E-124	50%	essential	2	b2253	arnB	"uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent"	4E-45	32%	Nonessential
RPA3979	39937040	4499777	4500772	996	-	-	NADH-dependent dehydrogenase	[R] General function prediction only	Metabolism	NAD/NADP	2	CCNA_02094	-	MviM-like NAD-dependent oxidoreductase	4E-16	26%	essential	0	no E. coli homolog found					
RPA3982	39937043	4503101	4504111	1011	+	-	glycosyl transferase family protein	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Carbohydrate metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3984	39937045	4506092	4507564	1473	-	rfaE	ADP-heptose synthase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Carbohydrate metabolism	1	CCNA_03755	rfaE	bifunctiona	4E-148	53%	essential	1	b3052	hldE	fused heptose 7-phosphate kinase/heptose	8E-116	43%	Nonessential
RPA3985	39937046	4507589	4508569	981	-	-	ADP-L-glycero-D-manno-heptose-6-epimerase	"[G] Carbohydrate transport and metabolism, [M] Cell wall/membrane/envelope biogenesis"	Metabolism	Lipids/LPS/Fatty acid metabolism	5	CCNA_01497	-	ADP-L-glycero-D-manno-heptose-6-epimerase	6E-118	56%	essential	4	b3619	hldD	ADP-L-glycero-D-mannoheptose-6-epimerase	2E-73	41%	Nonessential
RPA3987	39937048	4509900	4510487	588	+	lpcA	phosphoheptose isomerase	[G] Carbohydrate transport and metabolism	Metabolism	Lipids/LPS/Fatty acid metabolism	0	no C. crescentus homolog found						2	b3149	diaA	DnaA initiator-associating factor for	8E-44	41%	Nonessential
RPA3989	39937050	4511023	4511967	945	-	-	lipopolysaccharide heptosyltransferase I	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	3	CCNA_01103	-	ADP-heptose--LPS heptosyltransferase	8E-14	24%	essential	2	b3621	waaC	ADP-heptose:LPS heptosyl transferase I	1E-78	42%	Nonessential
RPA3991	39937052	4513285	4515087	1803	+	-	ABC transporter ATP-binding protein	[V] Defense mechanisms	Transport	Transport	5	CCNA_00307	-	phospholipid-lipopolysaccharide ABC transporter	1E-110	35%	essential	5	b0914	msbA	fused lipid transporter subunits of ABC	3E-101	32%	essential
RPA4016	39937076	4544761	4545957	1197	-	metK	S-adenosylmethionine synthetase	[H] Coenzyme transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00048	metK	S-adenosylmethionine synthetase	8E-166	63%	essential	1	b2942	metK	S-adenosylmethionine synthetase	7E-134	52%	essential
RPA4018	39937078	4547580	4548890	1311	+	-	UDP-glucose 6-dehydrogenase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Nucleotide sugar metabolism	2	CCNA_02464	-	UDP-glucose 6-dehydrogenase	0E+00	69%	Nonessential	2	b3787	wecC	UDP-N-acetyl-D-mannosaminuronic acid	2E-47	29%	Nonessential
RPA4071	39937131	4608699	4612028	3330	+	carB	carbamoyl phosphate synthase large subunit	"[E] Amino acid transport and metabolism, [F] Nucleotide transport and metabolism"	Metabolism	Amino acid metabolism	1	CCNA_02994	-	carbamoyl-phosphate synthase large chain	0E+00	70%	Nonessential	1	b0033	carB	carbamoyl-phosphate synthase large subunit	0E+00	61%	Nonessential
RPA4075	39937135	4614093	4615058	966	+	trxB	thioredoxin reductase	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Redox balance	4	CCNA_02964	-	thioredoxin-disulfide reductase	7E-164	65%	essential	4	b0888	trxB	"thioredoxin reductase, FAD/NAD(P)-binding"	1E-116	52%	Nonessential
RPA4157	39937217	4700050	4702053	2004	+	-	hypothetical protein	[M] Cell wall/membrane/envelope biogenesis	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4174	39937234	4719311	4719799	489	+	purE	phosphoribosylaminoimidazole carboxylase catalytic subunit	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_03393	-	phosphoribosylaminoimidazole carboxylas	1E-75	67%	Nonessential	1	b0523	purE	N5-carboxyaminoimidazole ribonucleotide mutase	3E-60	62%	Nonessential
RPA4175	39937235	4719796	4720896	1101	+	purK	phosphoribosylaminoimidazole carboxylase ATPase subunit	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_03392	-	phosphoribosylaminoimidazole carboxylase NCAI	1E-118	51%	Nonessential	2	b0522	purK	N5-carboxyaminoimidazole ribonucleotide	5E-63	35%	Nonessential
RPA4176	39937236	4721053	4721316	264	+	rpsU	30S ribosomal protein S21	not in COGs	Translation	Ribosome	1	CCNA_03406	rpsU	SSU ribosomal protein S21P	1E-32	69%	essential	2	b3065	rpsU	30S ribosomal subunit protein S21	1E-11	31%	Nonessential
RPA4192	39937252	4737334	4737918	585	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4197	39937257	4741835	4741960	126	-	rpmJ	50S ribosomal protein L36	not in COGs	Translation	Ribosome	2	CCNA_03430	-	LSU ribosomal protein L36P	4E-19	68%	essential	2	b4506	ykgO	RpmJ-like protein	7E-15	59%	Nonessential
RPA4226	39937286	4768147	4769913	1767	-	-	signal transduction histidine kinase	[T] Signal transduction mechanisms	Sensing and signalling	Two-component systems	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4230	39937290	4772098	4772382	285	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4270	39937330	4817964	4818947	984	-	thrB	homoserine kinase	[R] General function prediction only	Metabolism	Amino acid metabolism	1	CCNA_03475	-	homoserine kinase	2E-122	52%	Nonessential	0	no E. coli homolog found					
RPA4294	39937354	4840036	4841637	1602	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4295	39937355	4841675	4842967	1293	-	purA	adenylosuccinate synthetase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_03201	-	adenylosuccinate synthetase	0E+00	67%	Nonessential	1	b4177	purA	adenylosuccinate synthetase	6E-157	52%	Nonessential
RPA4301	39937361	4848372	4848566	195	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	3	CCNA_02000	-	SSU ribosomal protein S2P	2E-05	30%	essential	0	no E. coli homolog found					
RPA4309	39937369	4859855	4861027	1173	-	serC	phosphoserine aminotransferase	"[H] Coenzyme transport and metabolism, [E] Amino acid transport and metabolism"	Metabolism	Amino acid metabolism	1	CCNA_03323	-	phosphoserine aminotransferase	0E+00	75%	Nonessential	0	no E. coli homolog found					
RPA4318	39937378	4868426	4869778	1353	-	glmM	phosphoglucosamine mutase	[G] Carbohydrate transport and metabolism	Metabolism	Central metabolism	3	CCNA_00116	-	phosphoglucosamine mutase	0E+00	62%	essential	3	b3176	glmM	phosphoglucosamine mutase	2E-141	51%	Nonessential
RPA4325	39937385	4874622	4875458	837	-	aroE	shikimate 5-dehydrogenase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00003	-	shikimate 5-dehydrogenase	3E-52	38%	essential	2	b3281	aroE	"dehydroshikimate reductase, NAD(P)-binding"	4E-37	36%	Nonessential
RPA4331	39937391	4881397	4882632	1236	-	aatA	aspartate aminotransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	4	CCNA_01603	-	aspartate aminotransferase	0E+00	72%	Nonessential	3	b2379	alaC	valine-pyruvate aminotransferase 3	2E-38	28%	Nonessential
RPA4344	39937404	4898366	4898599	234	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	1	CCNA_03865	-	leucyl-tRNA synthetase	4E-04	21%	essential	2	b0462	acrB	multidrug efflux system protein	2E-05	25%	Nonessential
RPA4355	39937415	4906232	4906852	621	-	pth	peptidyl-tRNA hydrolase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_00517	-	peptidyl-tRNA hydrolase	3E-55	43%	essential	1	b1204	pth	peptidyl-tRNA hydrolase	1E-36	36%	essential
RPA4358	39937418	4908396	4909256	861	+	lgt	prolipoprotein diacylglyceryl transferase	[M] Cell wall/membrane/envelope biogenesis	Lipoproteins	Lipoproteins	1	CCNA_00525	-	prolipoprotein diacylglyceryl transferase	3E-83	48%	essential	1	b2828	lgt	phosphatidylglycerol-prolipoprotein	1E-64	41%	essential
RPA4359	39937419	4909253	4910392	1140	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_00524	-	conserved hypothetical cytosolic protein	1E-77	40%	essential	0	no E. coli homolog found					
RPA4362	39937422	4912172	4913125	954	+	ribP	ribose-phosphate pyrophosphokinase	"[F] Nucleotide transport and metabolism, [E] Amino acid transport and metabolism"	Metabolism	Purine/pyrimidine metabolism	1	CCNA_00520	-	ribose-phosphate pyrophosphokinase	2E-150	66%	essential	1	b1207	prs	phosphoribosylpyrophosphate synthase	2E-125	56%	essential
RPA4364	39937424	4914215	4914715	501	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_00527	-	hypothetical protein	7E-46	36%	Nonessential	0	no E. coli homolog found					
RPA4366	39937426	4915228	4916070	843	+	proC	pyrroline-5-carboxylate reductase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00528	-	pyrroline-5-carboxylate reductase	1E-50	40%	Nonessential	1	b0386	proC	"pyrroline-5-carboxylate reductase,"	3E-36	33%	Nonessential
RPA4368	39937428	4918006	4918728	723	-	-	two-component transcriptional regulator	"[K] Transcription, [T] Signal transduction mechanisms"	Sensing and signalling	Two-component systems	13	CCNA_03026	-	two-component response regulator petR	3E-64	47%	essential	15	b3405	ompR	DNA-binding response regulator in two-component system	1E-55	39%	Nonessential
RPA4370	39937430	4919559	4920671	1113	+	ilvE	branched-chain amino acid aminotransferase	"[E] Amino acid transport and metabolism, [H] Coenzyme transport and metabolism"	Metabolism	Amino acid metabolism	1	CCNA_03024	-	branched-chain amino acid aminotransferase	3E-18	22%	Nonessential	1	b3770	ilvE	branched-chain amino-acid aminotransferase	7E-36	28%	Nonessential
RPA4376	39937436	4927491	4928039	549	-	lspA	lipoprotein signal peptidase	"[M] Cell wall/membrane/envelope biogenesis, [U] Intracellular trafficking, secretion, and vesicular transport"	Lipoproteins	Lipoproteins	2	CCNA_00736	-	lipoprotein signal peptidase	7E-19	30%	essential	1	b0027	lspA	prolipoprotein signal peptidase	5E-17	26%	essential
RPA4377	39937437	4928148	4931165	3018	-	ileS	isoleucyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_00737	ileS	isoleucyl-tRNA synthetase	0E+00	51%	essential	1	b0026	ileS	isoleucyl-tRNA synthetase	0E+00	42%	Nonessential
RPA4379	39937439	4931916	4932884	969	-	ribF	riboflavin biosynthesis protein RibF	[H] Coenzyme transport and metabolism	Metabolism	Riboflavin biosynthesis	1	CCNA_00740	-	riboflavin kinase/FMN adenylyltransferase	8E-70	37%	essential	1	b0025	ribF	bifunctional riboflavin kinase/FAD synthetase	3E-64	35%	essential
RPA4388	39937448	4941280	4941831	552	-	-	N-acetyltransferase GCN5	[R] General function prediction only	Protein folding/modification	Acetylation	2	CCNA_00410	-	acetyltransferase	3E-34	36%	Nonessential	2	b3156	yhbS	predicted acyltransferase with acyl-CoA	1E-11	25%	Nonessential
RPA4405	39937465	4962078	4962407	330	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_03822	-	formamidopyrimidine-DNA glycosylase	2E-04	21%	Nonessential	0	no E. coli homolog found					
RPA4420	39937480	4980422	4980637	216	+	-	SlyX family protein	[S] Function unknown	Conserved domain proteins	Conserved domain proteins	0	no C. crescentus homolog found						2	b3348	slyX	protein required for phi X174 lysis	7E-13	41%	Nonessential
RPA4431	39937491	4998672	5000702	2031	+	-	peptidase M23B	[M] Cell wall/membrane/envelope biogenesis	Proteases/Peptidases	Peptidases	1	CCNA_03129	-	"peptidoglycan-specific endopeptidase, M2"	1E-65	20%	Nonessential	0	no E. coli homolog found					
RPA4437	39937497	5008280	5009482	1203	-	metX	homoserine O-acetyltransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00559	-	homoserine O-acetyltransferase	0E+00	64%	Nonessential	0	no E. coli homolog found					
RPA4439	39937499	5010724	5011821	1098	+	hisC	histidinol-phosphate aminotransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	6	CCNA_02306	-	histidinol-phosphate aminotransferase	2E-122	49%	Nonessential	3	b2021	hisC	histidinol-phosphate aminotransferase	5E-23	24%	Nonessential
RPA4440	39937500	5011818	5012759	942	+	tyrC	cyclohexadienyl dehydrogenase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_02307	-	cyclohexadienyl dehydrogenase	3E-127	58%	Nonessential	1	b2600	tyrA	fused chorismate mutase T/prephenate	1E-12	21%	Nonessential
RPA4446	39937506	5020355	5020798	444	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4478	39937538	5050403	5050708	306	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	1	CCNA_02046	-	nitrogen regulatory protein P-II	1E-04	22%	High_Fitness_Costs	0	no E. coli homolog found					
RPA4487	39937547	5060865	5061539	675	+	-	twin-arginine translocation pathway signal	"[O] Posttranslational modification, protein turnover, chaperones"	Secretion	Secretion	2	CCNA_00378	-	thiol:disulfide interchange protein dsbA	9E-32	33%	Nonessential	0	no E. coli homolog found					
RPA4489	39937549	5063290	5066823	3534	+	-	chromosome segregation protein SMC	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4498	39937556	5076071	5078230	2160	-	trpG	anthranilate synthase	"[H] Coenzyme transport and metabolism, [E] Amino acid transport and metabolism"	Metabolism	Amino acid metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4529	39937587	5110793	5111263	471	-	arsC4	protein tyrosine phosphatase	[T] Signal transduction mechanisms	Sensing and signalling	Phosphatases	1	CCNA_02429	-	arsenate reductase	2E-52	49%	Nonessential	1	b2061	wzb	protein-tyrosine phosphatase	4E-08	24%	Nonessential
RPA4531	39937589	5111807	5113102	1296	-	hisD	histidinol dehydrogenase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_02431	-	histidinol dehydrogenase	5E-160	57%	Nonessential	1	b2020	hisD	bifunctional histidinal dehydrogenase	1E-95	41%	Nonessential
RPA4533	39937591	5113701	5114990	1290	-	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_02435	-	UDP-N-acetylglucosamin	0E+00	62%	essential	1	b3189	murA	UDP-N-acetylglucosamine	4E-146	52%	essential
RPA4542	39937600	5122393	5122692	300	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						2	b3813	uvrD	DNA-dependent ATPase I and helicase II	6E-05	25%	Nonessential
RPA4683	39937741	5284215	5284469	255	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4685	39937743	5286747	5288384	1638	-	lysK	lysyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_00082	lysS	class 1 lysyl-tRNA synthetase	0E+00	60%	essential	0	no E. coli homolog found					
RPA4686	39937744	5288418	5289173	756	-	-	family 3 extracellular solute-binding protein	"[T] Signal transduction mechanisms, [E] Amino acid transport and metabolism"	Conserved domain proteins	Conserved domain proteins	1	CCNA_01508	-	cystine-binding protein	1E-30	27%	Nonessential	6	b0863	artI	arginine transporter subunit	2E-46	31%	Nonessential
RPA4724	39937782	5333861	5334424	564	+	pyrE	orotate phosphoribosyltransferase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01624	-	orotate phosphoribosyltransferase	3E-10	21%	Nonessential	1	b3642	pyrE	orotate phosphoribosyltransferase	8E-15	27%	Nonessential
RPA4733	39937791	5344975	5345784	810	-	plsC	phospholipid/glycerol acyltransferase	[I] Lipid transport and metabolism	Metabolism	Phospholipid metabolism	2	CCNA_02302	-	1-acyl-sn-glycerol-3-phosphate acyltransferase	3E-48	32%	essential	1	b3018	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	5E-17	23%	essential
RPA4735	39937793	5346668	5347444	777	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4736	39937794	5347658	5348317	660	-	ftsE	cell division ATP-binding protein FtsE	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	41	CCNA_02299	ftsE	cell division ATP-binding protein FtsE	2E-90	58%	essential	70	b3463	ftsE	predicted transporter subunit: ATP-binding	1E-59	44%	essential
RPA4741	39937799	5353332	5354597	1266	-	lysA	diaminopimelate decarboxylase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_02296	-	diaminopimelate decarboxylase	6E-151	54%	High_Fitness_Costs	1	b2838	lysA	"diaminopimelate decarboxylase, PLP-binding"	1E-57	34%	Nonessential
RPA4742	39937800	5354606	5354887	282	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	1	CCNA_01614	-	hypothetical protein	5E-06	22%	essential	1	b0984	gfcD	conserved protein	2E-04	22%	Nonessential
RPA4743	39937801	5354942	5356339	1398	-	argH	argininosuccinate lyase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_02294	-	argininosuccinate lyase	0E+00	62%	essential	2	b3960	argH	argininosuccinate lyase	2E-141	45%	Nonessential
RPA4765	39937823	5379553	5380686	1134	-	-	2'-deoxycytidine 5'-triphosphate deaminase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_02320	-	2'-deoxycytidine 5'-triphosphate deaminase	7E-124	50%	essential	0	no E. coli homolog found					
RPA4772	39937830	5387283	5388215	933	-	argF	ornithine carbamoyltransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_02325	-	ornithine carbamoyltransferase	1E-125	57%	Nonessential	4	b4254	argI	ornithine carbamoyltransferase 1	6E-67	42%	Nonessential
RPA4773	161610767	5388212	5389423	1212	-	argD	acetylornithine transaminase protein	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	6	CCNA_02326	-	acetylornithin	3E-153	53%	High_Fitness_Costs	7	b3359	argD	bifunctional acetylornithine aminotransferase	2E-117	44%	Nonessential
RPA4776	39937834	5391441	5392157	717	-	phoU	phosphate uptake regulator PhoU	[P] Inorganic ion transport and metabolism	Metabolism	Phosphate metabolism	1	CCNA_00295	phoU	phosphate transport system protein phoU	4E-79	49%	essential	1	b3724	phoU	negative regulator of PhoR/PhoB two-component	4E-46	33%	Nonessential
RPA4783	39937841	5398873	5399169	297	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						1	b2516	rodZ	cytoskeletal protein required for MreB assembly	3E-04	27%	Nonessential
RPA4784	39937842	5399173	5400567	1395	-	-	OmpA/MotB domain-containing protein	[M] Cell wall/membrane/envelope biogenesis	Outer membrane proteins	Outer membrane proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4831	39937889	5454965	5455354	390	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA4836	39937894	5458392	5458658	267	+	rpsT	30S ribosomal protein S20	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00007	-	SSU ribosomal protein S20P	3E-26	52%	essential	1	b0023	rpsT	30S ribosomal subunit protein S20	2E-15	41%	Nonessential
